#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 05 15 00  91 11.8 14.0  3.24  8.33  5.58 999 1014.4  27.9  27.7  22.2 99.0 99.00
2007 01 05 16 00  85 12.0 14.2 99.00 99.00 99.00 999 1014.2  27.6  27.7  22.1 99.0 99.00
2007 01 05 17 00  87 11.6 13.5  3.35  9.09  5.70 999 1013.3  27.7  27.8  22.6 99.0 99.00
2007 01 05 18 00  95 11.1 13.3  3.17  9.09  5.52 999 1012.3  28.8  27.8  22.3 99.0 99.00
2007 01 05 19 00  91 11.3 13.5  2.69  8.33  4.98 999 1011.2  29.0  27.9  22.8 99.0 99.00
2007 01 05 20 00  92 11.3 13.2  2.59  8.33  4.87 999 1011.1  29.0  27.9  22.6 99.0 99.00
2007 01 05 21 00  80 12.7 14.6  2.69  8.33  5.02 999 1011.3  27.8  27.9  22.5 99.0 99.00
2007 01 05 22 00  86 13.8 15.6  2.76  7.69  5.05 999 1011.2  27.6  27.9  22.4 99.0 99.00
2007 01 05 23 00  87 12.4 14.5  2.57  8.33  4.86 999 1011.5  27.1  27.9  22.1 99.0 99.00
2007 01 06 00 00  81 13.0 15.0  2.68  8.33  5.07 999 1012.0  27.4  27.8  23.0 99.0 99.00
2007 01 06 01 00  82 14.7 17.2  2.58  9.09  4.99 999 1012.5  27.3  27.8  22.6 99.0 99.00
2007 01 06 02 00  82 13.1 15.2  2.75  9.09  5.17 999 1013.1  27.4  27.8  23.0 99.0 99.00
2007 01 06 03 00  84 13.7 16.2  2.78  9.09  5.30 999 1013.2  27.4  27.8  22.8 99.0 99.00
2007 01 06 04 00  87 12.3 14.3  2.71  8.33  5.01 999 1013.2  27.2  27.8  23.3 99.0 99.00
2007 01 06 05 00  79 12.1 14.7  2.96  8.33  5.43 999 1012.9  27.2  27.8  23.3 99.0 99.00
2007 01 06 06 00  84 13.6 15.9  2.81  9.09  5.12 999 1012.4  27.3  27.8  22.6 99.0 99.00
2007 01 06 07 00  77 13.0 15.1  2.72  8.33  5.03 999 1011.9  27.1  27.8  23.0 99.0 99.00
2007 01 06 08 00  79 12.9 15.7  2.76  8.33  5.05 999 1011.5  27.0  27.8  23.2 99.0 99.00
2007 01 06 09 00  81 13.9 17.8  2.66  8.33  5.03 999 1011.5  27.1  27.8  22.8 99.0 99.00
2007 01 06 10 00  91 11.0 13.1  2.50  7.69  4.88 999 1011.8  27.0  27.8  23.3 99.0 99.00
2007 01 06 11 00  91 12.6 14.9  2.59  7.69  4.96 999 1012.1  27.2  27.8  22.3 99.0 99.00
2007 01 06 12 00  85 12.7 14.5 99.00 99.00 99.00 999 1012.8  27.3  27.8  22.5 99.0 99.00
2007 01 06 13 00  82 12.0 14.2  2.54  8.33  4.82 999 1013.7  27.7  27.7  22.6 99.0 99.00
2007 01 06 14 00  88 11.4 14.0  2.57  9.09  4.85 999 1014.7  28.8  27.7  22.3 99.0 99.00
2007 01 06 15 00  82 11.8 13.4  2.46  9.09  4.82 999 1014.6  29.1  27.7  22.2 99.0 99.00
2007 01 06 16 00  79 12.0 13.5  2.65  8.33  4.84 999 1014.3  28.8  27.6  21.9 99.0 99.00
2007 01 06 17 00  89 12.0 13.7 99.00 99.00 99.00 999 1013.6  28.9  27.6  21.7 99.0 99.00
2007 01 06 18 00  91 11.1 13.5  2.55  7.69  4.84 999 1012.6  27.7  27.6  21.8 99.0 99.00
2007 01 06 19 00  90 10.7 12.1 99.00 99.00 99.00 999 1011.7  28.1  27.5  22.0 99.0 99.00
2007 01 06 20 00  92 10.8 12.5  2.59  7.69  5.03 999 1011.3  28.8  27.6  22.3 99.0 99.00
2007 01 06 21 00  84 11.2 13.3  2.38  7.69  4.73 999 1011.3  28.9  27.5  22.1 99.0 99.00
2007 01 06 22 00  80 11.2 12.9  2.37  9.09  4.47 999 1011.7  27.8  27.4  22.0 99.0 99.00
2007 01 06 23 00  84 11.3 13.2  2.41  8.33  4.85 999 1012.0  27.2  27.3  22.0 99.0 99.00
2007 01 07 00 00  80 11.2 13.5  2.36  8.33  4.83 999 1012.3  26.9  27.2  22.1 99.0 99.00
2007 01 07 01 00  74 11.5 13.4  2.27  8.33  4.88 999 1012.9  27.1  27.2  22.5 99.0 99.00
2007 01 07 02 00  77 11.5 13.3  2.21  7.69  4.82 999 1013.5  27.2  27.1  22.7 99.0 99.00
2007 01 07 03 00  76 11.9 13.8  2.15  9.09  4.83 999 1013.7  27.3  27.1  22.8 99.0 99.00
2007 01 07 04 00  75 12.7 14.7  2.39  7.69  5.47 999 1013.6  27.2  27.0  23.0 99.0 99.00
2007 01 07 05 00  74 13.0 15.5  2.62  8.33  5.42 999 1013.3  27.0  27.0  23.0 99.0 99.00
2007 01 07 06 00  83 11.3 13.5  2.82  8.33  5.62 999 1013.0  26.9  27.0  23.0 99.0 99.00
2007 01 07 07 00  84 11.8 14.3  2.80  8.33  5.51 999 1012.3  27.0  27.0  22.7 99.0 99.00
2007 01 07 08 00  81 12.0 13.7  2.94  8.33  5.74 999 1012.2  26.7  27.1  23.1 99.0 99.00
2007 01 07 09 00  77 10.9 12.6  2.98  8.33  6.02 999 1012.4  26.8  27.1  23.6 99.0 99.00
2007 01 07 10 00  77 13.1 15.5 99.00 99.00 99.00 999 1012.7  27.0  27.1  22.8 99.0 99.00
2007 01 07 11 00  81 12.7 15.3  2.95  9.09  5.64 999 1013.2  27.0  27.0  22.8 99.0 99.00
2007 01 07 12 00  80 12.6 14.7  3.35  8.33  6.05 999 1013.9  27.0  27.0  22.9 99.0 99.00
2007 01 07 13 00  75 12.9 14.9 99.00 99.00 99.00 999 1014.8  27.7  27.0  22.7 99.0 99.00
2007 01 07 14 00  84 12.8 14.8  3.00  7.69  5.66 999 1015.6  28.6  27.0  22.3 99.0 99.00
2007 01 07 15 00  81 12.4 15.3  2.95  8.33  5.68 999 1015.8  27.7  27.0  22.7 99.0 99.00
2007 01 07 16 00  81 12.4 14.9  3.02  9.09  5.57 999 1015.3  27.7  27.0  22.6 99.0 99.00
2007 01 07 17 00  84 13.4 16.1  3.12  8.33  5.63 999 1014.4  28.7  27.1  22.0 99.0 99.00
2007 01 07 18 00  79 12.7 15.0  3.01  9.09  5.51 999 1013.4  29.0  27.1  22.4 99.0 99.00
2007 01 07 19 00  75 12.7 14.8  3.03  8.33  5.34 999 1012.6  28.2  27.1  22.6 99.0 99.00
2007 01 07 20 00  85 13.1 15.1  3.15  7.69  5.56 999 1012.4  29.1  27.1  21.8 99.0 99.00
2007 01 07 21 00  84 11.7 13.6  3.05  9.09  5.60 999 1012.4  28.9  27.2  22.0 99.0 99.00
2007 01 07 22 00  81 12.7 14.9  3.04  9.09  5.63 999 1012.4  27.4  27.1  22.2 99.0 99.00
2007 01 07 23 00  78 12.3 14.3  2.95  8.33  5.49 999 1012.6  27.2  27.1  22.6 99.0 99.00
2007 01 08 00 00  80 13.9 16.9  3.02  8.33  5.57 999 1012.8  26.6  27.1  21.6 99.0 99.00
2007 01 08 01 00  83 13.8 16.4 99.00 99.00 99.00 999 1013.4  27.2  27.1  21.7 99.0 99.00
2007 01 08 02 00  80 13.4 16.1  3.34  8.33  6.03 999 1013.5  27.2  27.1  22.0 99.0 99.00
2007 01 08 03 00  77 13.8 16.8  3.24  9.09  5.97 999 1013.5  27.1  27.1  21.6 99.0 99.00
2007 01 08 04 00  78 13.2 15.8  3.33  9.09  6.09 999 1013.3  27.0  27.1  21.7 99.0 99.00
2007 01 08 05 00  81 12.5 14.8  3.27  8.33  6.08 999 1012.8  26.8  27.1  22.0 99.0 99.00
2007 01 08 06 00  85 13.1 15.6  3.44  8.33  6.39 999 1012.2  26.7  27.1  21.9 99.0 99.00
2007 01 08 07 00  87 13.2 15.9  3.30  9.09  6.16 999 1011.6  26.7  27.1  22.3 99.0 99.00
2007 01 08 08 00  82 12.7 15.3  3.05  9.09  5.92 999 1011.3  26.8  27.1  21.9 99.0 99.00
2007 01 08 09 00  83 12.8 14.5  3.41  9.09  6.22 999 1011.4  26.7  27.1  21.7 99.0 99.00
2007 01 08 10 00  82 11.8 13.8  3.41  9.09  6.16 999 1011.9  26.7  27.0  21.4 99.0 99.00
2007 01 08 11 00  83 11.1 13.5  3.24  9.09  6.24 999 1012.6  26.7  27.0  21.5 99.0 99.00
2007 01 08 12 00  84 11.0 13.6  3.11  8.33  6.18 999 1013.4  27.0  26.9  21.8 99.0 99.00
2007 01 08 13 00  85 11.8 13.6  2.95  9.09  6.17 999 1014.1  29.2  26.9  21.6 99.0 99.00
2007 01 08 14 00  85 10.9 12.6  3.07  8.33  6.16 999 1015.0  29.7  26.9  22.1 99.0 99.00
2007 01 08 15 00  81 10.4 12.8  3.44  9.09  6.41 999 1015.2  30.0  26.9  22.3 99.0 99.00
2007 01 08 16 00  78  9.8 12.1  3.16  9.09  6.22 999 1015.1  29.8  26.9  22.5 99.0 99.00
2007 01 08 17 00  75 10.4 12.0  2.99  8.33  6.00 999 1014.3  29.3  26.9  22.0 99.0 99.00
2007 01 08 18 00  81  9.9 11.3  2.84  8.33  5.78 999 1013.1  27.7  26.9  22.1 99.0 99.00
2007 01 08 19 00  74  9.9 11.8  3.22  8.33  6.05 999 1012.3  27.0  26.9  22.0 99.0 99.00
2007 01 08 20 00  76  9.6 11.0  2.91  8.33  5.73 999 1011.9  27.0  26.8  21.5 99.0 99.00
2007 01 08 21 00  76 10.0 11.3  2.82  8.33  5.55 999 1012.0  27.2  26.8  21.1 99.0 99.00
2007 01 08 22 00  72  9.2 10.8  2.92  9.09  5.99 999 1012.3  27.1  26.8  22.0 99.0 99.00
2007 01 08 23 00  73  8.9 10.4  2.66  9.09  5.91 999 1012.8  26.9  26.8  22.0 99.0 99.00
2007 01 09 00 00  75  9.7 11.2  2.61  7.69  5.83 999 1013.3  26.8  26.8  21.7 99.0 99.00
2007 01 09 01 00  77  8.9 99.0 99.00 99.00 99.00 999 9999.0  26.9 999.0  21.7 99.0 99.00
2007 01 09 02 00  71  9.0 10.7  2.64  8.33  6.10 999 1014.2  26.8  26.8  21.5 99.0 99.00
2007 01 09 03 00  74  8.9 10.5  2.57  8.33  5.83 999 1014.6  26.7  26.8  21.7 99.0 99.00
2007 01 09 05 00  76  9.0 11.0  2.63  8.33  6.06 999 1013.9  25.7  26.8  22.0 99.0 99.00
2007 01 09 06 00  73  8.3  9.7  2.74  8.33  6.21 999 1013.3  26.5  26.8  22.0 99.0 99.00
2007 01 09 07 00  66  6.4  7.5 99.00 99.00 99.00 999 1012.7  24.8  26.8  22.3 99.0 99.00
2007 01 09 08 00  65  9.3 11.0  2.29  8.33  5.98 999 1012.2  25.3  26.8  22.2 99.0 99.00
2007 01 09 09 00  59  6.4  7.8  2.18  8.33  5.75 999 1012.5  23.5  26.8  21.9 99.0 99.00
2007 01 09 10 00  84  6.9  8.5  2.08  8.33  5.56 999 1012.6  25.5  26.8  22.8 99.0 99.00
2007 01 09 11 00  72  7.0  8.0  2.29  7.69  5.64 999 1013.0  26.0  26.8  21.1 99.0 99.00
2007 01 09 12 00  68  6.0 99.0 99.00 99.00 99.00 999 9999.0  26.5 999.0  22.3 99.0 99.00
