YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 05 10 00 354  2.6  3.4  0.61  9.09  5.80 999 1013.7  25.5  27.0 999.0 99.0 99.00
2006 01 05 11 00  12  2.9  3.6  0.65  8.33  5.65 999 1013.8  25.4  27.0 999.0 99.0 99.00
2006 01 05 12 00  14  2.0  2.9  0.63  8.33  5.53 999 1014.0  25.4  27.0 999.0 99.0 99.00
2006 01 05 13 00   6  1.3  2.6  0.61  7.69  5.76 999 1014.4  25.5  27.0 999.0 99.0 99.00
2006 01 05 14 00  35  1.9  2.5  0.61 10.81  5.83 999 1015.0  25.9  27.0 999.0 99.0 99.00
2006 01 05 15 00   5  2.1  3.0  0.60  8.33  5.70 999 1015.7  26.0  27.1 999.0 99.0 99.00
2006 01 05 16 00   1  1.3  1.8 99.00 99.00 99.00 999 1015.5  26.1  27.1 999.0 99.0 99.00
2006 01 05 17 00 292  0.2  0.5  0.58  9.09  6.02 999 1014.8  27.0  27.4 999.0 99.0 99.00
2006 01 05 18 00 347  1.6  2.5  0.54  9.09  5.98 999 1013.7  26.0  27.8 999.0 99.0 99.00
2006 01 05 19 00 306  1.3  2.0  0.54  7.69  5.98 999 1012.5  25.9  27.9 999.0 99.0 99.00
2006 01 05 20 00 300  1.7  2.5  0.53  8.33  6.10 999 1012.1  25.7  27.6 999.0 99.0 99.00
2006 01 05 21 00 288  2.3  2.8  0.51  9.09  6.02 999 1012.1  25.9  27.7 999.0 99.0 99.00
2006 01 05 22 00 296  2.0  2.8  0.54  8.33  5.73 999 1012.2  26.1  27.4 999.0 99.0 99.00
2006 01 05 23 00 344  5.7  6.9  0.51  8.33  5.82 999 1012.3  25.2  27.4 999.0 99.0 99.00
2006 01 06 00 00 326  5.3  6.6  0.48  7.69  5.58 999 1012.6  26.3  27.3 999.0 99.0 99.00
2006 01 06 01 00 327  6.4  7.7  0.56  8.33  4.68 999 1013.1  26.2  27.2 999.0 99.0 99.00
2006 01 06 02 00 326  7.5  9.0  0.57  8.33  3.98 999 1013.5  26.2  27.2 999.0 99.0 99.00
2006 01 06 03 00 324  8.8 10.5  0.77  3.85  3.84 999 1013.8  26.4  27.1 999.0 99.0 99.00
2006 01 06 04 00 322  9.2 10.8  0.95  4.00  3.91 999 1013.9  26.2  27.1 999.0 99.0 99.00
2006 01 06 05 00 328  8.6 10.9  0.99  4.35  4.03 999 1014.0  26.1  27.1 999.0 99.0 99.00
2006 01 06 06 00 318  8.1  9.1 99.00 99.00 99.00 999 1013.6  26.0  27.1 999.0 99.0 99.00
2006 01 06 07 00 322  8.2  9.9  1.04  5.00  4.22 999 1013.1  25.9  27.1 999.0 99.0 99.00
2006 01 06 08 00 315  9.5 11.1  1.10  5.56  4.50 999 1012.6  25.7  27.1 999.0 99.0 99.00
2006 01 06 09 00 307  9.7 11.0 99.00 99.00 99.00 999 1012.5  25.6  27.1 999.0 99.0 99.00
2006 01 06 10 00 315  9.0 10.6  1.39  5.88  4.54 999 1012.6  25.5  27.0 999.0 99.0 99.00
2006 01 06 11 00 324  8.4  9.8 99.00 99.00 99.00 999 1012.8  25.5  27.0 999.0 99.0 99.00
2006 01 06 12 00 326  9.0 10.6  1.51  6.25  4.62 999 1013.3  25.6  27.0 999.0 99.0 99.00
2006 01 06 13 00 329  8.9 11.0 99.00 99.00 99.00 999 1014.3  25.7  27.0 999.0 99.0 99.00
2006 01 06 14 00 325  9.6 11.2 99.00 99.00 99.00 999 1014.8  25.9  27.0 999.0 99.0 99.00
2006 01 06 15 00 333  8.5 10.3  1.49  6.25  4.61 999 1015.1  25.9  27.0 999.0 99.0 99.00
2006 01 06 16 00 337 11.2 13.0  1.52  6.25  4.73 999 1015.2  26.1  27.0 999.0 99.0 99.00
2006 01 06 17 00 339 11.8 14.0  1.64  6.67  4.76 999 1014.9  25.8  27.0 999.0 99.0 99.00
2006 01 06 18 00 344 12.7 15.7  1.86  6.25  4.87 999 1014.7  25.1  27.0 999.0 99.0 99.00
2006 01 06 19 00 340 12.6 14.8  2.25  7.14  5.08 999 1014.0  25.1  27.0 999.0 99.0 99.00
2006 01 06 20 00 329 12.4 14.6  2.23  7.69  5.18 999 1013.8  25.1  27.0 999.0 99.0 99.00
2006 01 06 21 00 329 13.1 15.9  2.48  7.14  5.58 999 1013.8  24.8  27.0 999.0 99.0 99.00
2006 01 06 22 00 324 12.7 15.0  2.43  7.69  5.45 999 1014.3  24.7  26.9 999.0 99.0 99.00
2006 01 06 23 00 320 13.3 15.7  2.58  7.69  5.57 999 1015.1  24.4  26.9 999.0 99.0 99.00
2006 01 07 00 00 326 12.5 15.7  2.55  8.33  5.76 999 1015.5  24.5  27.0 999.0 99.0 99.00
2006 01 07 01 00 334 11.8 13.7  2.67  8.33  6.02 999 1016.4  24.5  26.9 999.0 99.0 99.00
2006 01 07 02 00 326 13.1 15.8  2.57  7.14  5.75 999 1017.2  24.4  26.9 999.0 99.0 99.00
